[WARNING] Deprecated '--logger=capnslog' flag is set; use '--logger=zap' flag instead
2020-04-24 13:14:06.464531 I | etcdmain: etcd Version: 3.4.3
2020-04-24 13:15:23.572119 W | etcdserver: read-only range request "key:\"/registry/services/endpoints/kube-system/kube-scheduler\" " with result "range_response_count:1 size:576" took too long (484.86053ms) to execute
2020-04-24 13:15:23.572210 W | etcdserver: read-only range request "key:\"/registry/clusterrolebindings\" range_end:\"/registry/clusterrolebindingt\" count_only:true " with result "range_response_count:0 size:8" took too long (731.931541ms) to execute
2020-04-24 13:15:23.572436 W | etcdserver: read-only range request "key:\"/registry/minions/master\" " with result "range_response_count:1 size:5479" took too long (975.085579ms) to execute
2020-04-24 13:15:24.072400 W | etcdserver: read-only range request "key:\"/registry/crd.projectcalico.org/ippools/\" range_end:\"/registry/crd.projectcalico.org/ippools0\" " with result "range_response_count:1 size:929" took too long (491.21276ms) to execute
2020-04-24 13:15:24.073005 W | etcdserver: read-only range request "key:\"/registry/crd.projectcalico.org/ipamhandles/k8s-pod-network.f644be1a1078ced473446ac1aeb1ff5bf894224323703ba0e2bcac285b49cedd\" " with result "range_response_count:1 size:903" took too long (495.42915ms) to execute
2020-04-24 13:15:24.073233 W | etcdserver: read-only range request "key:\"/registry/roles\" range_end:\"/registry/rolet\" count_only:true " with result "range_response_count:0 size:8" took too long (415.56596ms) to execute
2020-04-24 13:15:24.073331 W | etcdserver: read-only range request "key:\"/registry/leases/kube-system/kube-scheduler\" " with result "range_response_count:1 size:480" took too long (495.644376ms) to execute
2020-04-24 13:15:24.511554 W | etcdserver: read-only range request "key:\"/registry/leases/kube-system/kube-scheduler\" " with result "range_response_count:1 size:480" took too long (430.921062ms) to execute
2020-04-24 13:15:25.161340 W | etcdserver: read-only range request "key:\"/registry/crd.projectcalico.org/ipamhandles/kube-system.coredns-66bff467f8-bfq5l\" " with result "range_response_count:0 size:6" took too long (1.080568735s) to execute
2020-04-24 13:15:25.161670 W | etcdserver: request "header:<ID:9653027836254939255 username:\"kube-apiserver-etcd-client\" auth_revision:1 > txn:<compare:<target:MOD key:\"/registry/leases/kube-system/kube-scheduler\" mod_revision:23874 > success:<request_put:<key:\"/registry/leases/kube-system/kube-scheduler\" value_size:411 >> failure:<request_range:<key:\"/registry/leases/kube-system/kube-scheduler\" > >>" with result "size:18" took too long (272.524681ms) to execute
2020-04-24 13:15:25.162083 W | etcdserver: read-only range request "key:\"/registry/minions/master\" " with result "range_response_count:1 size:5479" took too long (646.685506ms) to execute
2020-04-24 13:15:25.995733 W | etcdserver: read-only range request "key:\"/registry/apiregistration.k8s.io/apiservices\" range_end:\"/registry/apiregistration.k8s.io/apiservicet\" count_only:true " with result "range_response_count:0 size:8" took too long (626.836543ms) to execute
2020-04-24 13:15:25.996612 W | etcdserver: read-only range request "key:\"/registry/services/endpoints/kube-system/kube-controller-manager\" " with result "range_response_count:1 size:603" took too long (414.886653ms) to execute
2020-04-24 13:15:26.827796 W | etcdserver: read-only range request "key:\"/registry/leases/kube-system/kube-controller-manager\" " with result "range_response_count:1 size:507" took too long (820.407557ms) to execute
2020-04-24 13:15:26.828502 W | etcdserver: read-only range request "key:\"/registry/services/endpoints\" range_end:\"/registry/services/endpointt\" count_only:true " with result "range_response_count:0 size:8" took too long (393.380213ms) to execute
2020-04-24 13:15:27.787451 W | etcdserver: read-only range request "key:\"/registry/networkpolicies\" range_end:\"/registry/networkpoliciet\" count_only:true " with result "range_response_count:0 size:6" took too long (188.994914ms) to execute
2020-04-24 13:15:27.787714 W | etcdserver: read-only range request "key:\"/registry/services/endpoints/kube-system/kube-scheduler\" " with result "range_response_count:1 size:576" took too long (616.64512ms) to execute
2020-04-24 13:15:28.373332 W | etcdserver: read-only range request "key:\"/registry/leases/kube-system/kube-scheduler\" " with result "range_response_count:1 size:480" took too long (577.413761ms) to execute
2020-04-24 13:15:28.373412 W | etcdserver: read-only range request "key:\"/registry/masterleases/192.168.32.2\" " with result "range_response_count:1 size:136" took too long (579.819001ms) to execute
2020-04-24 13:15:29.186257 W | etcdserver: request "header:<ID:9653027836254939278 username:\"kube-apiserver-etcd-client\" auth_revision:1 > txn:<compare:<target:MOD key:\"/registry/leases/kube-system/kube-scheduler\" mod_revision:23885 > success:<request_put:<key:\"/registry/leases/kube-system/kube-scheduler\" value_size:411 >> failure:<request_range:<key:\"/registry/leases/kube-system/kube-scheduler\" > >>" with result "size:18" took too long (260.478858ms) to execute
2020-04-24 13:15:29.186558 W | etcdserver: read-only range request "key:\"/registry/services/endpoints/kube-system/kube-controller-manager\" " with result "range_response_count:1 size:603" took too long (343.548886ms) to execute
2020-04-24 13:15:29.538178 W | etcdserver: read-only range request "key:\"/registry/leases/kube-system/kube-controller-manager\" " with result "range_response_count:1 size:508" took too long (258.052825ms) to execute
2020-04-24 13:15:29.538195 W | etcdserver: read-only range request "key:\"/registry/endpointslices/default/kubernetes\" " with result "range_response_count:1 size:485" took too long (256.821691ms) to execute
2020-04-24 13:15:30.351577 W | etcdserver: request "header:<ID:9653027836254939288 username:\"kube-apiserver-etcd-client\" auth_revision:1 > txn:<compare:<target:MOD key:\"/registry/leases/kube-node-lease/master\" mod_revision:23866 > success:<request_put:<key:\"/registry/leases/kube-node-lease/master\" value_size:530 >> failure:<request_range:<key:\"/registry/leases/kube-node-lease/master\" > >>" with result "size:18" took too long (380.78071ms) to execute
2020-04-24 13:15:30.353127 W | etcdserver: read-only range request "key:\"/registry/health\" " with result "range_response_count:0 size:6" took too long (556.531596ms) to execute
2020-04-24 13:15:30.366213 W | etcdserver: read-only range request "key:\"/registry/pods/kube-system/calico-kube-controllers-75d56dfc47-86t9t\" " with result "range_response_count:1 size:4269" took too long (278.694906ms) to execute
2020-04-24 13:15:31.048312 W | etcdserver: request "header:<ID:9653027836254939292 username:\"kube-apiserver-etcd-client\" auth_revision:1 > txn:<compare:<target:MOD key:\"/registry/pods/kube-system/calico-kube-controllers-75d56dfc47-86t9t\" mod_revision:23859 > success:<request_put:<key:\"/registry/pods/kube-system/calico-kube-controllers-75d56dfc47-86t9t\" value_size:4305 >> failure:<request_range:<key:\"/registry/pods/kube-system/calico-kube-controllers-75d56dfc47-86t9t\" > >>" with result "size:18" took too long (499.778172ms) to execute
2020-04-24 13:15:31.587092 W | etcdserver: read-only range request "key:\"/registry/validatingwebhookconfigurations\" range_end:\"/registry/validatingwebhookconfigurationt\" count_only:true " with result "range_response_count:0 size:6" took too long (189.41115ms) to execute
2020-04-24 13:15:31.587398 W | etcdserver: read-only range request "key:\"/registry/services/endpoints/kube-system/kube-scheduler\" " with result "range_response_count:1 size:576" took too long (395.181126ms) to execute
2020-04-24 13:15:32.120548 W | etcdserver: request "header:<ID:9653027836254939299 username:\"kube-apiserver-etcd-client\" auth_revision:1 > txn:<compare:<target:MOD key:\"/registry/services/endpoints/kube-system/kube-scheduler\" mod_revision:23888 > success:<request_put:<key:\"/registry/services/endpoints/kube-system/kube-scheduler\" value_size:495 >> failure:<request_range:<key:\"/registry/services/endpoints/kube-system/kube-scheduler\" > >>" with result "size:18" took too long (218.632479ms) to execute
2020-04-24 13:15:32.120706 W | etcdserver: read-only range request "key:\"/registry/leases/kube-system/kube-controller-manager\" " with result "range_response_count:1 size:508" took too long (522.370911ms) to execute
2020-04-24 13:15:32.914471 W | etcdserver: request "header:<ID:9653027836254939303 username:\"kube-apiserver-etcd-client\" auth_revision:1 > txn:<compare:<target:MOD key:\"/registry/leases/kube-system/kube-scheduler\" mod_revision:23889 > success:<request_put:<key:\"/registry/leases/kube-system/kube-scheduler\" value_size:411 >> failure:<request_range:<key:\"/registry/leases/kube-system/kube-scheduler\" > >>" with result "size:18" took too long (426.394838ms) to execute
2020-04-24 13:15:32.915634 W | etcdserver: read-only range request "key:\"/registry/configmaps\" range_end:\"/registry/configmapt\" count_only:true " with result "range_response_count:0 size:8" took too long (132.891806ms) to execute
2020-04-24 13:15:35.042109 W | etcdserver: read-only range request "key:\"/registry/services/endpoints/kube-system/kube-scheduler\" " with result "range_response_count:1 size:576" took too long (123.487379ms) to execute
2020-04-24 13:15:35.042421 W | etcdserver: read-only range request "key:\"/registry/persistentvolumeclaims\" range_end:\"/registry/persistentvolumeclaimt\" count_only:true " with result "range_response_count:0 size:6" took too long (747.432551ms) to execute
2020-04-24 13:15:35.042677 W | etcdserver: read-only range request "key:\"/registry/leases/kube-system/kube-controller-manager\" " with result "range_response_count:1 size:508" took too long (903.772117ms) to execute
2020-04-24 13:15:35.042890 W | etcdserver: read-only range request "key:\"/registry/poddisruptionbudgets\" range_end:\"/registry/poddisruptionbudgett\" count_only:true " with result "range_response_count:0 size:6" took too long (697.682726ms) to execute
2020-04-24 13:15:35.682065 W | etcdserver: request "header:<ID:9653027836254939317 username:\"kube-apiserver-etcd-client\" auth_revision:1 > txn:<compare:<target:MOD key:\"/registry/services/endpoints/kube-system/kube-scheduler\" mod_revision:23897 > success:<request_put:<key:\"/registry/services/endpoints/kube-system/kube-scheduler\" value_size:495 >> failure:<request_range:<key:\"/registry/services/endpoints/kube-system/kube-scheduler\" > >>" with result "size:18" took too long (253.828627ms) to execute
2020-04-24 13:15:35.682154 W | etcdserver: read-only range request "key:\"/registry/csinodes\" range_end:\"/registry/csinodet\" count_only:true " with result "range_response_count:0 size:8" took too long (445.977677ms) to execute
2020-04-24 13:15:36.442236 W | etcdserver: read-only range request "key:\"/registry/minions\" range_end:\"/registry/miniont\" count_only:true " with result "range_response_count:0 size:8" took too long (657.876962ms) to execute
2020-04-24 13:15:36.442592 W | etcdserver: request "header:<ID:9653027836254939321 > lease_revoke:<id:05f671ac52eee851>" with result "size:29" took too long (406.073511ms) to execute
2020-04-24 13:15:37.105355 W | etcdserver: read-only range request "key:\"/registry/limitranges\" range_end:\"/registry/limitranget\" count_only:true " with result "range_response_count:0 size:6" took too long (185.432908ms) to execute
2020-04-24 13:15:37.944607 W | etcdserver: read-only range request "key:\"/registry/namespaces/default\" " with result "range_response_count:1 size:258" took too long (155.392479ms) to execute
2020-04-24 13:15:37.945336 W | etcdserver: read-only range request "key:\"/registry/leases/kube-system/kube-controller-manager\" " with result "range_response_count:1 size:507" took too long (831.155615ms) to execute
2020-04-24 13:15:37.945660 W | etcdserver: read-only range request "key:\"/registry/services/endpoints/kube-system/kube-scheduler\" " with result "range_response_count:1 size:576" took too long (252.841245ms) to execute
2020-04-24 13:15:38.545769 W | etcdserver: request "header:<ID:9653027836254939335 username:\"kube-apiserver-etcd-client\" auth_revision:1 > lease_grant:<ttl:15-second id:05f671ac52eee8c6>" with result "size:41" took too long (427.515498ms) to execute
2020-04-24 13:15:38.546967 W | etcdserver: read-only range request "key:\"/registry/replicasets\" range_end:\"/registry/replicasett\" count_only:true " with result "range_response_count:0 size:8" took too long (157.722934ms) to execute
2020-04-24 13:15:38.931011 W | etcdserver: read-only range request "key:\"/registry/rolebindings\" range_end:\"/registry/rolebindingt\" count_only:true " with result "range_response_count:0 size:8" took too long (153.567059ms) to execute
2020-04-24 13:15:38.931371 W | etcdserver: read-only range request "key:\"/registry/crd.projectcalico.org/clusterinformations/default\" " with result "range_response_count:1 size:913" took too long (263.901395ms) to execute
2020-04-24 13:15:38.931602 W | etcdserver: read-only range request "key:\"/registry/leases/kube-system/kube-scheduler\" " with result "range_response_count:1 size:481" took too long (380.676584ms) to execute
2020-04-24 13:15:38.931897 W | etcdserver: read-only range request "key:\"/registry/services/endpoints/default/kubernetes\" " with result "range_response_count:1 size:289" took too long (380.788488ms) to execute
2020-04-24 13:15:40.482930 W | etcdserver: read-only range request "key:\"/registry/health\" " with result "range_response_count:0 size:6" took too long (488.651927ms) to execute
2020-04-24 13:15:40.483470 W | etcdserver: read-only range request "key:\"/registry/leases/kube-system/kube-controller-manager\" " with result "range_response_count:1 size:507" took too long (519.887529ms) to execute
2020-04-24 13:15:40.483797 W | etcdserver: read-only range request "key:\"/registry/crd.projectcalico.org/ipamblocks/\" range_end:\"/registry/crd.projectcalico.org/ipamblocks0\" " with result "range_response_count:3 size:5018" took too long (384.422454ms) to execute
2020-04-24 13:15:40.484968 W | etcdserver: read-only range request "key:\"/registry/crd.projectcalico.org/clusterinformations/default\" " with result "range_response_count:1 size:913" took too long (410.389244ms) to execute
2020-04-24 13:15:40.485323 W | etcdserver: request "header:<ID:9653027836254939352 username:\"kube-apiserver-etcd-client\" auth_revision:1 > txn:<compare:<target:MOD key:\"/registry/leases/kube-node-lease/master\" mod_revision:23893 > success:<request_put:<key:\"/registry/leases/kube-node-lease/master\" value_size:530 >> failure:<request_range:<key:\"/registry/leases/kube-node-lease/master\" > >>" with result "size:18" took too long (120.158817ms) to execute
2020-04-24 13:15:40.687361 W | etcdserver: read-only range request "key:\"/registry/minions/worker2\" " with result "range_response_count:1 size:4599" took too long (166.568909ms) to execute
2020-04-24 13:15:41.225664 W | etcdserver: read-only range request "key:\"/registry/services/endpoints/kube-system/kube-scheduler\" " with result "range_response_count:1 size:576" took too long (286.783198ms) to execute
2020-04-24 13:15:41.226401 W | etcdserver: read-only range request "key:\"/registry/resourcequotas\" range_end:\"/registry/resourcequotat\" count_only:true " with result "range_response_count:0 size:6" took too long (188.911025ms) to execute
2020-04-24 13:15:41.226519 W | etcdserver: read-only range request "key:\"/registry/crd.projectcalico.org/clusterinformations/default\" " with result "range_response_count:1 size:913" took too long (353.168795ms) to execute
2020-04-24 13:15:41.227109 W | etcdserver: read-only range request "key:\"/registry/crd.projectcalico.org/ippools/\" range_end:\"/registry/crd.projectcalico.org/ippools0\" " with result "range_response_count:1 size:929" took too long (348.334568ms) to execute
2020-04-24 13:15:41.886431 W | etcdserver: read-only range request "key:\"/registry/namespaces/kube-system\" " with result "range_response_count:1 size:264" took too long (621.369461ms) to execute
2020-04-24 13:15:41.886895 W | etcdserver: read-only range request "key:\"/registry/leases/kube-system/kube-scheduler\" " with result "range_response_count:1 size:481" took too long (625.27303ms) to execute
2020-04-24 13:15:41.887334 W | etcdserver: read-only range request "key:\"/registry/crd.projectcalico.org/blockaffinities/\" range_end:\"/registry/crd.projectcalico.org/blockaffinities0\" " with result "range_response_count:3 size:2366" took too long (631.568373ms) to execute
2020-04-24 13:15:42.385633 W | etcdserver: read-only range request "key:\"/registry/minions/master\" " with result "range_response_count:1 size:5479" took too long (297.432953ms) to execute
2020-04-24 13:15:42.415245 W | etcdserver: read-only range request "key:\"/registry/secrets\" range_end:\"/registry/secrett\" count_only:true " with result "range_response_count:0 size:8" took too long (287.915195ms) to execute
2020-04-24 13:15:43.271897 W | etcdserver: request "header:<ID:9653027836254939389 username:\"kube-apiserver-etcd-client\" auth_revision:1 > txn:<compare:<target:MOD key:\"/registry/crd.projectcalico.org/ipamblocks/192-168-219-64-26\" mod_revision:23917 > success:<request_put:<key:\"/registry/crd.projectcalico.org/ipamblocks/192-168-219-64-26\" value_size:1969 >> failure:<request_range:<key:\"/registry/crd.projectcalico.org/ipamblocks/192-168-219-64-26\" > >>" with result "size:18" took too long (295.562043ms) to execute
2020-04-24 13:15:43.275844 W | etcdserver: read-only range request "key:\"/registry/services/endpoints/kube-system/kube-controller-manager\" " with result "range_response_count:1 size:603" took too long (753.001917ms) to execute
2020-04-24 13:15:43.305331 W | etcdserver: read-only range request "key:\"/registry/volumeattachments\" range_end:\"/registry/volumeattachmentt\" count_only:true " with result "range_response_count:0 size:6" took too long (462.21577ms) to execute
2020-04-24 13:15:43.305574 W | etcdserver: read-only range request "key:\"/registry/clusterrolebindings\" range_end:\"/registry/clusterrolebindingt\" count_only:true " with result "range_response_count:0 size:8" took too long (578.54635ms) to execute
2020-04-24 13:15:43.968735 W | etcdserver: read-only range request "key:\"/registry/leases/kube-system/kube-controller-manager\" " with result "range_response_count:1 size:508" took too long (645.600625ms) to execute
2020-04-24 13:15:43.968776 W | etcdserver: request "header:<ID:9653027836254939395 username:\"kube-apiserver-etcd-client\" auth_revision:1 > txn:<compare:<target:MOD key:\"/registry/pods/kube-system/coredns-66bff467f8-bfq5l\" mod_revision:23740 > success:<request_put:<key:\"/registry/pods/kube-system/coredns-66bff467f8-bfq5l\" value_size:4964 >> failure:<request_range:<key:\"/registry/pods/kube-system/coredns-66bff467f8-bfq5l\" > >>" with result "size:18" took too long (375.731419ms) to execute
2020-04-24 13:15:44.284786 W | etcdserver: read-only range request "key:\"/registry/minions/foo\" " with result "range_response_count:0 size:6" took too long (754.235591ms) to execute
2020-04-24 13:15:44.284975 W | etcdserver: request "header:<ID:9653027836254939400 username:\"kube-apiserver-etcd-client\" auth_revision:1 > txn:<compare:<target:MOD key:\"/registry/leases/kube-system/kube-controller-manager\" mod_revision:23912 > success:<request_put:<key:\"/registry/leases/kube-system/kube-controller-manager\" value_size:430 >> failure:<request_range:<key:\"/registry/leases/kube-system/kube-controller-manager\" > >>" with result "size:18" took too long (204.119998ms) to execute
2020-04-24 13:15:44.288110 W | etcdserver: read-only range request "key:\"/registry/services/endpoints/kube-system/kube-scheduler\" " with result "range_response_count:1 size:576" took too long (286.577438ms) to execute
2020-04-24 13:15:44.291089 W | etcdserver: read-only range request "key:\"/registry/jobs/\" range_end:\"/registry/jobs0\" limit:500 " with result "range_response_count:0 size:6" took too long (636.009893ms) to execute
2020-04-24 13:15:45.751863 W | wal: sync duration of 1.453906818s, expected less than 1s
2020-04-24 13:15:45.752559 W | etcdserver: read-only range request "key:\"/registry/crd.projectcalico.org/clusterinformations/default\" " with result "range_response_count:1 size:913" took too long (1.170315327s) to execute
2020-04-24 13:15:46.094153 W | etcdserver: request "header:<ID:9653027836254939412 username:\"kube-apiserver-etcd-client\" auth_revision:1 > txn:<compare:<target:MOD key:\"/registry/replicasets/kube-system/calico-kube-controllers-75d56dfc47\" mod_revision:23825 > success:<request_put:<key:\"/registry/replicasets/kube-system/calico-kube-controllers-75d56dfc47\" value_size:2887 >> failure:<request_range:<key:\"/registry/replicasets/kube-system/calico-kube-controllers-75d56dfc47\" > >>" with result "size:18" took too long (170.309486ms) to execute
2020-04-24 13:15:46.097630 W | etcdserver: read-only range request "key:\"/registry/minions/master\" " with result "range_response_count:1 size:5479" took too long (155.781311ms) to execute
2020-04-24 13:15:46.105568 W | etcdserver: read-only range request "key:\"/registry/leases/kube-system/kube-scheduler\" " with result "range_response_count:1 size:481" took too long (334.643907ms) to execute
2020-04-24 13:15:46.770455 W | etcdserver: read-only range request "key:\"/registry/leases/kube-system/kube-controller-manager\" " with result "range_response_count:1 size:508" took too long (366.777222ms) to execute
2020-04-24 13:15:47.284290 W | etcdserver: read-only range request "key:\"/registry/minions/master\" " with result "range_response_count:1 size:5479" took too long (717.221988ms) to execute
2020-04-24 13:15:47.503290 W | etcdserver: read-only range request "key:\"/registry/leases/kube-system/kube-controller-manager\" " with result "range_response_count:1 size:508" took too long (206.499285ms) to execute
2020-04-24 13:15:47.505555 W | etcdserver: read-only range request "key:\"/registry/minions/master\" " with result "range_response_count:1 size:5479" took too long (207.033161ms) to execute
2020-04-24 13:15:47.712898 W | etcdserver: read-only range request "key:\"/registry/crd.projectcalico.org/clusterinformations/default\" " with result "range_response_count:1 size:913" took too long (197.312183ms) to execute
2020-04-24 13:15:48.254916 W | etcdserver: request "header:<ID:9653027836254939454 username:\"kube-apiserver-etcd-client\" auth_revision:1 > txn:<compare:<target:MOD key:\"/registry/masterleases/192.168.32.2\" mod_revision:23908 > success:<request_put:<key:\"/registry/masterleases/192.168.32.2\" value_size:67 lease:429655799400163644 >> failure:<request_range:<key:\"/registry/masterleases/192.168.32.2\" > >>" with result "size:18" took too long (359.01015ms) to execute
2020-04-24 13:15:50.321488 W | etcdserver: read-only range request "key:\"/registry/health\" " with result "range_response_count:0 size:6" took too long (520.757721ms) to execute
2020-04-24 13:15:50.322190 W | etcdserver: request "header:<ID:9653027836254939476 username:\"kube-apiserver-etcd-client\" auth_revision:1 > txn:<compare:<target:MOD key:\"/registry/events/kube-system/coredns-66bff467f8-jx2t2.1608c3cc173c4d74\" mod_revision:0 > success:<request_put:<key:\"/registry/events/kube-system/coredns-66bff467f8-jx2t2.1608c3cc173c4d74\" value_size:676 lease:429655799400163407 >> failure:<>>" with result "size:18" took too long (326.399308ms) to execute
2020-04-24 13:15:50.323631 W | etcdserver: read-only range request "key:\"/registry/crd.projectcalico.org/bgpconfigurations/default\" " with result "range_response_count:0 size:6" took too long (328.515961ms) to execute
2020-04-24 13:15:50.325010 W | etcdserver: read-only range request "key:\"/registry/crd.projectcalico.org/clusterinformations/default\" " with result "range_response_count:1 size:913" took too long (172.798556ms) to execute
2020-04-24 13:15:50.965329 W | etcdserver: read-only range request "key:\"/registry/crd.projectcalico.org/bgppeers/\" range_end:\"/registry/crd.projectcalico.org/bgppeers0\" " with result "range_response_count:0 size:6" took too long (631.084285ms) to execute
2020-04-24 13:15:50.965580 W | etcdserver: request "header:<ID:9653027836254939481 username:\"kube-apiserver-etcd-client\" auth_revision:1 > txn:<compare:<target:MOD key:\"/registry/leases/kube-node-lease/master\" mod_revision:23911 > success:<request_put:<key:\"/registry/leases/kube-node-lease/master\" value_size:530 >> failure:<request_range:<key:\"/registry/leases/kube-node-lease/master\" > >>" with result "size:18" took too long (156.656328ms) to execute
2020-04-24 13:15:50.971947 W | etcdserver: read-only range request "key:\"/registry/minions/\" range_end:\"/registry/minions0\" " with result "range_response_count:3 size:15097" took too long (637.695266ms) to execute
2020-04-24 13:15:50.972930 W | etcdserver: read-only range request "key:\"/registry/services/endpoints/kube-system/kube-scheduler\" " with result "range_response_count:1 size:576" took too long (371.907337ms) to execute
2020-04-24 13:15:50.973173 W | etcdserver: read-only range request "key:\"/registry/crd.projectcalico.org/clusterinformations/default\" " with result "range_response_count:1 size:913" took too long (467.829267ms) to execute
2020-04-24 13:15:50.974120 W | etcdserver: read-only range request "key:\"/registry/crd.projectcalico.org/blockaffinities/\" range_end:\"/registry/crd.projectcalico.org/blockaffinities0\" " with result "range_response_count:3 size:2366" took too long (638.942886ms) to execute
2020-04-24 13:15:50.974465 W | etcdserver: read-only range request "key:\"/registry/crd.projectcalico.org/bgpconfigurations/\" range_end:\"/registry/crd.projectcalico.org/bgpconfigurations0\" " with result "range_response_count:0 size:6" took too long (640.209359ms) to execute
2020-04-24 13:15:50.976041 W | etcdserver: read-only range request "key:\"/registry/crd.projectcalico.org/felixconfigurations/default\" " with result "range_response_count:1 size:899" took too long (635.403901ms) to execute
2020-04-24 13:15:50.977861 W | etcdserver: read-only range request "key:\"/registry/crd.projectcalico.org/ippools/\" range_end:\"/registry/crd.projectcalico.org/ippools0\" " with result "range_response_count:1 size:929" took too long (638.266912ms) to execute
2020-04-24 13:15:51.542839 W | etcdserver: read-only range request "key:\"/registry/leases/kube-system/kube-scheduler\" " with result "range_response_count:1 size:481" took too long (508.449324ms) to execute
2020-04-24 13:15:51.547581 W | etcdserver: read-only range request "key:\"/registry/minions/master\" " with result "range_response_count:1 size:5479" took too long (520.353086ms) to execute
2020-04-24 13:15:51.558655 W | etcdserver: read-only range request "key:\"/registry/pods/kube-system/coredns-66bff467f8-bfq5l\" " with result "range_response_count:1 size:5040" took too long (510.546364ms) to execute
2020-04-24 13:15:51.779244 W | etcdserver: request "header:<ID:9653027836254939491 username:\"kube-apiserver-etcd-client\" auth_revision:1 > txn:<compare:<target:MOD key:\"/registry/pods/kube-system/coredns-66bff467f8-bfq5l\" mod_revision:23922 > success:<request_put:<key:\"/registry/pods/kube-system/coredns-66bff467f8-bfq5l\" value_size:5092 >> failure:<request_range:<key:\"/registry/pods/kube-system/coredns-66bff467f8-bfq5l\" > >>" with result "size:18" took too long (116.48192ms) to execute
2020-04-24 13:15:52.091132 W | etcdserver: read-only range request "key:\"/registry/services/endpoints/kube-system/kube-controller-manager\" " with result "range_response_count:1 size:603" took too long (312.296456ms) to execute
2020-04-24 13:15:52.091795 W | etcdserver: request "header:<ID:9653027836254939492 username:\"kube-apiserver-etcd-client\" auth_revision:1 > txn:<compare:<target:MOD key:\"/registry/services/endpoints/kube-system/kube-dns\" mod_revision:23823 > success:<request_put:<key:\"/registry/services/endpoints/kube-system/kube-dns\" value_size:576 >> failure:<request_range:<key:\"/registry/services/endpoints/kube-system/kube-dns\" > >>" with result "size:18" took too long (195.693792ms) to execute
2020-04-24 13:15:52.093332 W | etcdserver: read-only range request "key:\"/registry/pods/kube-system/coredns-66bff467f8-jx2t2\" " with result "range_response_count:1 size:5040" took too long (307.206185ms) to execute
2020-04-24 13:15:53.302537 W | wal: sync duration of 1.071892867s, expected less than 1s
2020-04-24 13:15:53.303219 W | etcdserver: read-only range request "key:\"/registry/leases/kube-system/kube-controller-manager\" " with result "range_response_count:1 size:508" took too long (1.199500135s) to execute
2020-04-24 13:15:53.693039 W | etcdserver: read-only range request "key:\"/registry/minions/master\" " with result "range_response_count:1 size:5479" took too long (840.454973ms) to execute
2020-04-24 13:15:53.693404 W | etcdserver: read-only range request "key:\"/registry/daemonsets\" range_end:\"/registry/daemonsett\" count_only:true " with result "range_response_count:0 size:8" took too long (851.803337ms) to execute
2020-04-24 13:15:53.693990 W | etcdserver: read-only range request "key:\"/registry/storageclasses\" range_end:\"/registry/storageclasset\" count_only:true " with result "range_response_count:0 size:6" took too long (1.471827879s) to execute
2020-04-24 13:15:54.181473 W | etcdserver: read-only range request "key:\"/registry/leases/kube-system/kube-controller-manager\" " with result "range_response_count:1 size:508" took too long (483.894681ms) to execute
2020-04-24 13:15:54.181746 W | etcdserver: read-only range request "key:\"/registry/services/endpoints/kube-system/kube-scheduler\" " with result "range_response_count:1 size:576" took too long (604.185049ms) to execute
2020-04-24 13:15:54.182152 W | etcdserver: read-only range request "key:\"/registry/crd.projectcalico.org/ippools/\" range_end:\"/registry/crd.projectcalico.org/ippools0\" " with result "range_response_count:1 size:929" took too long (483.631275ms) to execute
2020-04-24 13:15:54.743509 W | etcdserver: request "header:<ID:9653027836254939509 username:\"kube-apiserver-etcd-client\" auth_revision:1 > txn:<compare:<target:MOD key:\"/registry/services/endpoints/kube-system/kube-scheduler\" mod_revision:23966 > success:<request_put:<key:\"/registry/services/endpoints/kube-system/kube-scheduler\" value_size:495 >> failure:<request_range:<key:\"/registry/services/endpoints/kube-system/kube-scheduler\" > >>" with result "size:18" took too long (351.505905ms) to execute
2020-04-24 13:15:54.744079 W | etcdserver: read-only range request "key:\"/registry/crd.projectcalico.org/ippools/\" range_end:\"/registry/crd.projectcalico.org/ippools0\" " with result "range_response_count:1 size:929" took too long (553.524251ms) to execute
2020-04-24 13:15:55.552951 W | etcdserver: request "header:<ID:9653027836254939510 username:\"kube-apiserver-etcd-client\" auth_revision:1 > txn:<compare:<target:MOD key:\"/registry/events/kube-system/coredns-66bff467f8-bfq5l.1608c3cd2c87d2e7\" mod_revision:0 > success:<request_put:<key:\"/registry/events/kube-system/coredns-66bff467f8-bfq5l.1608c3cd2c87d2e7\" value_size:773 lease:429655799400163407 >> failure:<>>" with result "size:18" took too long (345.143192ms) to execute
2020-04-24 13:15:55.553786 W | etcdserver: read-only range request "key:\"/registry/jobs/\" range_end:\"/registry/jobs0\" limit:500 " with result "range_response_count:0 size:6" took too long (1.250242668s) to execute
2020-04-24 13:15:55.554194 W | etcdserver: read-only range request "key:\"/registry/crd.projectcalico.org/ipamblocks/192-168-219-64-26\" " with result "range_response_count:1 size:2054" took too long (807.249644ms) to execute
2020-04-24 13:15:55.554523 W | etcdserver: read-only range request "key:\"/registry/leases/kube-system/kube-scheduler\" " with result "range_response_count:1 size:481" took too long (807.11823ms) to execute
2020-04-24 13:15:56.292213 W | etcdserver: read-only range request "key:\"/registry/cronjobs/\" range_end:\"/registry/cronjobs0\" limit:500 " with result "range_response_count:0 size:6" took too long (729.521678ms) to execute
